title,budget,dom_gross,intl_gross,disc_gross,release_date
A Serious Man (2009),"$7,000,000","$9,228,788","$30,360,570","$6,072,165","October 2nd, 2009 (Limited) by "
Dope (2015),"$7,000,000","$17,506,470","$18,190,831","$2,298,085","June 19th, 2015 (Wide) by "
The Bye Bye Man (2017),"$7,400,000","$22,395,806","$25,863,405","$1,867,532","January 13th, 2017 (Wide) by "
Me and Earl and the Dying Girl (2015),"$8,000,000","$6,758,416","$9,266,180","$924,360","June 12th, 2015 (Limited) by "
Begin Again (2014),"$8,000,000","$16,170,632","$68,838,736","$6,542,415","June 27th, 2014 (Limited) by "
Enough Said (2013),"$8,000,000","$17,550,872","$25,621,449","$3,568,182","September 18th, 2013 (Limited) by "
50/50 (2011),"$8,000,000","$35,016,118","$41,334,735","$11,500,468","September 30th, 2011 (Wide) by "
Easy A (2010),"$8,000,000","$58,401,464","$76,200,721","$30,101,226","September 17th, 2010 (Wide) by "
The Rover (2014),"$8,500,000","$1,109,199","$3,180,252","$472,487","June 13th, 2014 (Limited) by "
Middle School: The Worst Years of My Life (2016),"$8,500,000","$20,007,149","$23,311,425","$3,043,302","October 7th, 2016 (Wide) by "
Baggage Claim (2013),"$8,500,000","$21,569,509","$22,885,836","$4,883,377","September 27th, 2013 (Wide) by "
Nightcrawler (2014),"$8,500,000","$32,381,218","$50,334,418","$5,523,640","October 31st, 2014 (Wide) by "
The DUFF (2015),"$8,500,000","$34,030,343","$43,528,634","$7,424,677","February 20th, 2015 (Wide) by "
Crazy Heart (2009),"$8,500,000","$39,471,742","$47,417,251","$19,170,858","December 16th, 2009 (Limited) by "
Manchester by the Sea (2016),"$8,500,000","$47,695,371","$77,761,947","$3,795,736","November 18th, 2016 (Limited) by "
Dheepan (2015),"$9,000,000","$248,795","$7,714,549","$60,248","May 6th, 2016 (Limited) by "
Jackie (2016),"$9,000,000","$13,960,394","$25,969,736","$1,301,907","December 2nd, 2016 (Limited) by "
The Edge of Seventeen (2016),"$9,000,000","$14,431,633","$18,802,255","$2,647,656","November 18th, 2016 (Wide) by "
Melancholia (2011),"$9,400,000","$3,030,848","$21,817,298","$4,102,135","November 11th, 2011 (Limited) by "
The Runaways (2010),"$9,500,000","$3,573,673","$5,278,632","$6,430,363","March 19th, 2010 (Limited) by "
Adventureland (2009),"$9,800,000","$16,044,025","$17,553,055","$12,741,962","April 3rd, 2009 (Wide) by "
Strangerland (2015),"$10,000,000","$17,472","$161,097","$962,312","July 10th, 2015 (Limited) by "
Elsa & Fred (2014),"$10,000,000","$67,657","$109,144","$381,276","November 7th, 2014 (Limited) by "
Coriolanus (2012),"$10,000,000","$749,641","$1,049,641","$3,208,250","December 2nd, 2011 (Oscar Qualifying Run) by "
Free Fire (2017),"$10,000,000","$1,799,322","$3,793,739","$515,672","April 21st, 2017 (Wide) by "
Rosewater (2014),"$10,000,000","$3,128,941","$3,168,858","$611,900","November 14th, 2014 (Limited) by "
